,Count,Name,Company ID,Last Modified Date,Total Revenue,Postal Code,Last Touch Converting Campaign,First Touch Converting Campaign,Recent Deal Close Date,Number of Pageviews,Number of Employees,Time of Last Session,Time of First Session,Close Date,Associated Deals,Last Logged Call Date,Recent Deal Amount,Number of times contacted,First Conversion Date,Last Open Task Date,First Deal Created Date,Number of Form Submissions,Create Date,Month Create Date,Date of last meeting booked in meetings tool,Number of Sessions,Last Sales Activity Date,Last Activity Date,Next Activity Date,Owner Assigned Date,Total Money Raised,Associated Contacts,Recent Conversion Date,Original Source Data 2,Last Booked Meeting Date,Last Contacted,First Contact Create Date,Time Last Seen,Time First Seen,Year Founded,Days to Close,Annual Revenue,Number of open deals,Time Zone,,,,,,
1744,1,CUNY Law School,4794226634,11/22/2020 11:51,,10017,,,,1,10000,11/17/2020 11:09,11/17/2020 11:09,,,,,,11/17/2020 11:09,,,1,11/9/2020,20-Nov,,1,,,,,"$1,300,000 ",1,11/17/2020 11:09,11763254,,,11/9/2020 15:04,11/17/2020 11:09,11/9/2020 15:04,1847,,1000000000,,-5,,,,,,
2719,1,ciber,4794226632,11/9/2020 15:05,,48084,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,,1,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,1974,,1000000000,,-7,,,,,,
46,1,Hays,4794226625,11/17/2020 10:54,,NW1 2PG,,,,1,10000,11/17/2020 10:53,11/17/2020 10:53,,,,,,11/17/2020 10:54,,,1,11/9/2020,20-Nov,,1,,,,,,4,11/17/2020 10:54,11763254,,,11/9/2020 15:04,11/17/2020 10:53,11/9/2020 15:04,1867,,1000000000,,0,,,,,,
1738,1,FIS,4794226617,11/9/2020 15:05,,32202,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,,1,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,1968,,1000000000,,-5,,,,,,
1735,1,U.S. State Department,4793700075,11/9/2020 15:04,,20520,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,,1,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,1789,,1000000000,,-5,,,,,,
2537,1,"J.B. Hunt Transport, Inc.",4793700070,11/9/2020 15:05,,72745,,,,0,10000,,,,,,,,,,,,11/9/2020,20-Nov,,0,,,,,,1,,11763254,,,11/9/2020 15:04,,11/9/2020 15:04,1961,,1000000000,,-6,,,,,,
3963,1,berkeley college,4739388818,11/5/2020 9:30,,94720,,,,0,10000,,,,,,,,,,,,10/30/2020,20-Oct,,0,,,,10/30/2020 14:03,"$66,500,000 ",0,,11625812,,,10/30/2020 14:02,,10/30/2020 14:02,1868,,1000000000,,-8,,,,,,
90,1,KARL STORZ SE & Co. KG,4704833058,10/30/2020 14:04,,78532,,,,0,10000,,,,,,,,,,,,10/23/2020,20-Oct,,0,,,,,,0,,11521090,,,10/23/2020 15:40,,10/23/2020 15:40,1994,,1000000000,,1,,,,,,
1697,1,"Gannett Co., Inc.",4704558778,11/24/2020 10:13,,22107,,,,0,10000,,,,,,,,,,,,10/23/2020,20-Oct,,0,,,,,,1,,11518385,,,10/23/2020 13:00,,10/23/2020 13:00,2015,,1000000000,,-5,,,,,,
1694,1,xerox,4704558773,10/31/2020 7:28,,6851,,,,0,10000,,,,,,,,,,,,10/23/2020,20-Oct,,0,,,,,"$3,200,000,000 ",0,,11518385,,,10/23/2020 13:00,,10/23/2020 13:00,1906,,1000000000,,-5,,,,,,
4450,1,Anheuser-Busch InBev,4704532351,11/13/2020 9:07,,10177,,,,0,10000,,,,,,,,,,,,10/23/2020,20-Oct,,0,,,,,"$10,000,000 ",1,,11518385,,,10/23/2020 13:00,,10/23/2020 13:00,2008,,1000000000,,,,,,,,
1635,1,The University of Tennessee,4563291137,10/2/2020 13:12,,37996,,,,2,10000,10/2/2020 13:11,10/2/2020 13:11,,,,,,10/2/2020 13:12,,,1,10/2/2020,20-Oct,,1,,,,,,1,10/2/2020 13:12,GOOGLE,,,10/2/2020 13:12,10/2/2020 13:11,10/2/2020 13:11,1794,,1000000000,,-5,,,,,,
1633,1,Ford Motor Company,4548328254,10/26/2020 12:50,,48126,,,,0,10000,,,,,,,0,,,,,9/29/2020,20-Sep,,0,,10/26/2020 12:50,,9/29/2020 14:01,,1,,CRM_UI,,,9/29/2020 14:01,,9/29/2020 14:01,1903,,1000000000,,-5,,,,,,
2703,1,COORSTEK,4458175146,11/6/2020 14:58,,80403,,,,0,10000,,,,,,,,,,,,9/9/2020,20-Sep,,0,,,,,,0,,10859002,,,9/9/2020 17:14,,9/9/2020 17:14,1910,,1000000000,,-7,,,,,,
1539,1,Verint Systems Inc,4458137902,10/12/2020 12:25,,11747,,,,0,10000,,,,,,,,,,,,9/9/2020,20-Sep,,0,,,,,,1,,10859002,,,9/9/2020 17:14,,9/9/2020 17:14,1994,,1000000000,,-5,,,,,,
